year,District,Priority,Calls
2011,7.0,2,4565
2011,7.0,3,18754
2011,8.0,2,4104
2011,8.0,3,19195
2011,9.0,2,15310
2011,9.0,3,60178
2011,10.0,2,6268
2011,10.0,3,28092
2011,11.0,2,5278
2011,11.0,3,21169
2012,1.0,2,3797
2012,1.0,3,12623
2012,2.0,2,3564
2012,2.0,3,9527
2012,3.0,2,2851
2012,3.0,3,6846
2012,4.0,2,3733
2012,4.0,3,10104
2012,5.0,2,4968
2012,5.0,3,12581
2012,6.0,2,3290
2012,6.0,3,8154
2012,7.0,2,6688
2012,7.0,3,16098
2012,8.0,2,6215
2012,8.0,3,16978
2012,9.0,2,21422
2012,9.0,3,53216
2012,10.0,2,8970
2012,10.0,3,25619
2012,11.0,2,7270
2012,11.0,3,18967
2013,1.0,2,4040
2013,1.0,3,12782
2013,2.0,2,3644
2013,2.0,3,9906
2013,3.0,2,2994
2013,3.0,3,7141
2013,4.0,2,3721
2013,4.0,3,10095
2013,5.0,2,4985
2013,5.0,3,12605
2013,6.0,2,3339
2013,6.0,3,7839
2013,7.0,2,7209
2013,7.0,3,16351
2013,8.0,2,6694
2013,8.0,3,17463
2013,9.0,2,23736
2013,9.0,3,53467
2013,10.0,2,9277
2013,10.0,3,26333
2013,11.0,2,7436
2013,11.0,3,19589
2014,1.0,2,4208
2014,1.0,3,14138
2014,2.0,2,3824
2014,2.0,3,9898
2014,3.0,2,2891
2014,3.0,3,7027
2014,4.0,2,3813
2014,4.0,3,10570
2014,5.0,2,5014
2014,5.0,3,13466
2014,6.0,2,3263
2014,6.0,3,8049
2014,7.0,2,7055
2014,7.0,3,15874
2014,8.0,2,6699
2014,8.0,3,18447
2014,9.0,2,23590
2014,9.0,3,56554
2014,10.0,2,9288
2014,10.0,3,27804
2014,11.0,2,7543
2014,11.0,3,19629
2015,1.0,2,4720
2015,1.0,3,14762
2015,2.0,2,3980
2015,2.0,3,10408
2015,3.0,2,3084
2015,3.0,3,7494
2015,4.0,2,4142
2015,4.0,3,10848
2015,5.0,2,5476
2015,5.0,3,13857
2015,6.0,2,3395
2015,6.0,3,8239
2015,7.0,2,7554
2015,7.0,3,17814
2015,8.0,2,6982
2015,8.0,3,18660
2015,9.0,2,25851
2015,9.0,3,58648
2015,10.0,2,10778
2015,10.0,3,29208
2015,11.0,2,8356
2015,11.0,3,20403
2016,1.0,2,4753
2016,1.0,3,14639
2016,2.0,2,4449
2016,2.0,3,10413
2016,3.0,2,3089
2016,3.0,3,7220
2016,4.0,2,4304
2016,4.0,3,10695
2016,5.0,2,5897
2016,5.0,3,14128
2016,6.0,2,3871
2016,6.0,3,8509
2016,7.0,2,8092
2016,7.0,3,17256
2016,8.0,2,7261
2016,8.0,3,19222
2016,9.0,2,28114
2016,9.0,3,61167
2016,10.0,2,11293
2016,10.0,3,29465
2016,11.0,2,8350
2016,11.0,3,20284
2017,1.0,2,4727
2017,1.0,3,14928
2017,2.0,2,4622
2017,2.0,3,11324
2017,3.0,2,3101
2017,3.0,3,7670
2017,4.0,2,4444
2017,4.0,3,11414
2017,5.0,2,6430
2017,5.0,3,15263
2017,6.0,2,3926
2017,6.0,3,8965
2017,7.0,2,8579
2017,7.0,3,17668
2017,8.0,2,7841
2017,8.0,3,19919
2017,9.0,2,28371
2017,9.0,3,62270
2017,10.0,2,11220
2017,10.0,3,28140
2017,11.0,2,8892
2017,11.0,3,21451
2018,1.0,2,5002
2018,1.0,3,14963
2018,2.0,2,4059
2018,2.0,3,9903
2018,3.0,2,3232
2018,3.0,3,7110
2018,4.0,2,4325
2018,4.0,3,11019
2018,5.0,2,6622
2018,5.0,3,14733
2018,6.0,2,3875
2018,6.0,3,8999
2018,7.0,2,8289
2018,7.0,3,16974
2018,8.0,2,7634
2018,8.0,3,19665
2018,9.0,2,29696
2018,9.0,3,64194
2018,10.0,2,11529
2018,10.0,3,28599
2018,11.0,2,8471
2018,11.0,3,20511
2019,1.0,2,4917
2019,1.0,3,15904
2019,2.0,2,3957
2019,2.0,3,10491
2019,3.0,2,3105
2019,3.0,3,7563
2019,4.0,2,4756
2019,4.0,3,12075
2019,5.0,2,6494
2019,5.0,3,14882
2019,6.0,2,3924
2019,6.0,3,8831
2019,7.0,2,8490
2019,7.0,3,17929
2019,8.0,2,7590
2019,8.0,3,20634
2019,9.0,2,30160
2019,9.0,3,69047
2019,10.0,2,11140
2019,10.0,3,27893
2019,11.0,2,8181
2019,11.0,3,20464
